id,work_code,project_name,category,state_id,district_id,constituency_id,vendor_id,sanctioned_amount,expenditure,utilization_pct,completion_pct,days_since_sanction,sanction_date,completion_date,status,latitude,longitude,executing_agency,created_at
1,MPLADS-BR-00481,Construction of Community Hall,Community Building,1,1,1,1,2500000.0,2150000.0,86.0,75.0,412,2025-07-20 12:17:00.111346,,Under Review,24.9567,83.9856,"District Rural Development Agency, Rohtas",2026-09-05 12:17:00.111346
2,WD-24-301,"Construction of Community Hall, Banaskantha",Infrastructure,2,3,3,2,2500000.0,2150000.0,86.0,80.0,380,2025-08-21 12:17:00.176720,,Work in Progress,24.1724,72.4346,Banaskantha District Panchayat,2026-09-05 12:17:00.177886
3,WD-24-302,"LED Street Light Installation, Banaskantha",Energy,2,3,3,2,1850000.0,1850000.0,100.0,100.0,365,2025-09-05 12:17:00.177886,,Completed,24.173,72.435,Banaskantha District Panchayat,2026-09-05 12:17:00.177886
4,SL-24-115,"Solar Street Light Installation, Jaipur",Energy,3,5,4,4,1500000.0,1480000.0,98.6,90.0,210,2026-02-07 12:17:00.177886,,Completed,26.9124,75.7873,Jaipur Nagar Nigam,2026-09-05 12:17:00.177886
5,SC-24-420,"School Building Construction, Patna",Education,1,2,2,3,6000000.0,5800000.0,96.6,95.0,540,2025-03-14 12:17:00.194821,,Under Audit,25.5941,85.1376,Bihar State Educational Infrastructure Dev Corp,2026-09-05 12:17:00.194821
6,RD-24-005,"Road Repair Work, Pune",Roads,4,6,5,5,4500000.0,1500000.0,33.3,30.0,90,2026-06-07 12:17:00.201944,,Just Sanctioned,18.5204,73.8567,Pune Municipal Corporation,2026-09-05 12:17:00.201944
7,MPLADS-MH-1001,Infrastructure Project at Pune Block 2,Infrastructure,4,6,5,2,800000.0,664000.0,83.0,79.3,462,2025-05-31 12:17:00.201944,,Work in Progress,21.8633648313757,83.07342109104378,Pune Public Works Dept,2026-09-05 12:17:00.201944
8,MPLADS-BR-1002,Infrastructure Project at Rohtas Block 3,Infrastructure,1,1,1,5,800000.0,421000.0,52.7,54.0,489,2025-05-04 12:17:00.211290,,Work in Progress,24.855947959494845,80.46255143778534,Rohtas Public Works Dept,2026-09-05 12:17:00.211290
9,MPLADS-RJ-1003,Energy Project at Jaipur Block 4,Energy,3,5,4,2,800000.0,672000.0,84.0,84.1,124,2026-05-04 12:17:00.211290,,Work in Progress,25.61530122040699,77.16973269611807,Jaipur Public Works Dept,2026-09-05 12:17:00.211290
10,MPLADS-RJ-1004,"Solar Street Light Installation, Jaipur Ward 4",Energy,3,5,4,4,2500000.0,2300000.0,92.0,92.7,397,2025-08-04 12:17:00.211290,,Completed,26.9124,75.7873,Jaipur Public Works Dept,2026-09-05 12:17:00.211290
11,MPLADS-GJ-1005,Roads Project at Banaskantha Block 1,Roads,2,3,3,6,2500000.0,2170000.0,86.8,86.2,400,2025-08-01 12:17:00.227553,,Work in Progress,23.729456549407555,73.95990982651281,Banaskantha Public Works Dept,2026-09-05 12:17:00.227889
12,MPLADS-RJ-1006,Community Building Project at Jaipur Block 2,Community Building,3,5,4,6,7500000.0,3303000.0,44.0,40.5,314,2025-10-26 12:17:00.227889,,Work in Progress,21.90039637764722,76.41188065767139,Jaipur Public Works Dept,2026-09-05 12:17:00.227889
13,MPLADS-GJ-1007,Water Supply Project at Surat Block 3,Water Supply,2,4,,3,2500000.0,1236000.0,49.4,53.6,205,2026-02-12 12:17:00.227889,,Work in Progress,21.755105543094754,76.07796954853178,Surat Public Works Dept,2026-09-05 12:17:00.227889
14,MPLADS-RJ-1008,"High Mast Solar Lighting, Jaipur Ward 4 Extension",Energy,3,5,4,4,2200000.0,2090000.0,95.0,98.0,280,2025-11-29 12:17:00.239446,,Completed,26.913,75.7878,Jaipur Public Works Dept,2026-09-05 12:17:00.239446
15,MPLADS-BR-1009,Education Project at Patna Block 5,Education,1,2,2,6,3500000.0,1948000.0,55.7,51.5,62,2026-07-05 12:17:00.244812,,Work in Progress,25.536479471623174,75.372266092157,Patna Public Works Dept,2026-09-05 12:17:00.244812
16,MPLADS-GJ-1010,Education Project at Banaskantha Block 1,Education,2,3,3,5,2500000.0,1096000.0,43.8,52.6,499,2025-04-24 12:17:00.244812,,Work in Progress,27.023304249134085,76.78870042389732,Banaskantha Public Works Dept,2026-09-05 12:17:00.244812
17,MPLADS-BR-1011,Energy Project at Patna Block 2,Energy,1,2,2,5,1200000.0,652000.0,54.3,54.7,171,2026-03-18 12:17:00.244812,,Work in Progress,24.357920588371595,83.23050579361865,Patna Public Works Dept,2026-09-05 12:17:00.244812
18,MPLADS-RJ-1012,Education Project at Jaipur Block 3,Education,3,5,4,1,800000.0,671000.0,83.8,84.6,509,2025-04-14 12:17:00.259877,,Under Review,21.307446422851264,74.4837318256645,Jaipur Public Works Dept,2026-09-05 12:17:00.261396
19,MPLADS-RJ-1013,Energy Project at Jaipur Block 4,Energy,3,5,4,1,5000000.0,4496000.0,89.9,96.5,378,2025-08-23 12:17:00.261396,,Work in Progress,25.474238941026496,73.80682097045693,Jaipur Public Works Dept,2026-09-05 12:17:00.261396
20,MPLADS-BR-1014,Energy Project at Rohtas Block 5,Energy,1,1,1,1,3500000.0,1721000.0,49.2,46.9,138,2026-04-20 12:17:00.261396,,Work in Progress,27.635145827416533,85.1502088116351,Rohtas Public Works Dept,2026-09-05 12:17:00.261396
21,MPLADS-MH-1015,Energy Project at Pune Block 1,Energy,4,6,5,2,7500000.0,5208000.0,69.4,72.4,30,2026-08-06 12:17:00.279331,,Work in Progress,21.307430221542116,83.46141092111975,Pune Public Works Dept,2026-09-05 12:17:00.279331
22,MPLADS-RJ-1016,Energy Project at Jaipur Block 2,Energy,3,5,4,3,3500000.0,1440000.0,41.1,49.3,110,2026-05-18 12:17:00.279331,,Under Review,27.041902834803153,84.49181638748158,Jaipur Public Works Dept,2026-09-05 12:17:00.279331
23,MPLADS-BR-1017,Water Supply Project at Rohtas Block 3,Water Supply,1,1,1,5,3500000.0,3057000.0,87.3,86.3,463,2025-05-30 12:17:00.279331,,Work in Progress,26.1500919915252,74.01303282104647,Rohtas Public Works Dept,2026-09-05 12:17:00.293178
24,MPLADS-BR-1018,Roads Project at Patna Block 4,Roads,1,2,2,6,7500000.0,6001000.0,80.0,82.8,153,2026-04-05 12:17:00.294227,,Work in Progress,22.56255870127707,86.92772541424733,Patna Public Works Dept,2026-09-05 12:17:00.294227
