id,work_id,actor_name,actor_role,action,details,previous_state,new_state,timestamp
1,1,Data Sync,System,Dataset synchronized,Work record MPLADS-BR-00481 ingested and normalized from eSAKSHI portal.,,Under Review,2026-09-05 12:17:00.177886
2,1,Risk Engine,System,Risk recalculated,Evaluated 5 detection engines. Composite risk score calculated as 83/100 (HIGH).,0,83,2026-09-05 12:17:00.177886
3,2,Data Sync,System,Dataset synchronized,Work record WD-24-301 ingested and normalized from eSAKSHI portal.,,Work in Progress,2026-09-05 12:17:00.177886
4,2,Risk Engine,System,Risk recalculated,Evaluated 5 detection engines. Composite risk score calculated as 70/100 (MEDIUM).,0,70,2026-09-05 12:17:00.177886
5,3,Data Sync,System,Dataset synchronized,Work record WD-24-302 ingested and normalized from eSAKSHI portal.,,Completed,2026-09-05 12:17:00.177886
6,3,Risk Engine,System,Risk recalculated,Evaluated 5 detection engines. Composite risk score calculated as 81/100 (HIGH).,0,81,2026-09-05 12:17:00.177886
7,4,Data Sync,System,Dataset synchronized,Work record SL-24-115 ingested and normalized from eSAKSHI portal.,,Completed,2026-09-05 12:17:00.194821
8,4,Risk Engine,System,Risk recalculated,Evaluated 5 detection engines. Composite risk score calculated as 52/100 (MEDIUM).,0,52,2026-09-05 12:17:00.194821
9,5,Data Sync,System,Dataset synchronized,Work record SC-24-420 ingested and normalized from eSAKSHI portal.,,Under Audit,2026-09-05 12:17:00.201944
10,5,Risk Engine,System,Risk recalculated,Evaluated 5 detection engines. Composite risk score calculated as 62/100 (MEDIUM).,0,62,2026-09-05 12:17:00.201944
11,6,Data Sync,System,Dataset synchronized,Work record RD-24-005 ingested and normalized from eSAKSHI portal.,,Just Sanctioned,2026-09-05 12:17:00.201944
12,6,Risk Engine,System,Risk recalculated,Evaluated 5 detection engines. Composite risk score calculated as 34/100 (LOW).,0,34,2026-09-05 12:17:00.201944
13,7,Data Sync,System,Dataset synchronized,Work record MPLADS-MH-1001 ingested and normalized from eSAKSHI portal.,,Work in Progress,2026-09-05 12:17:00.211290
14,7,Risk Engine,System,Risk recalculated,Evaluated 5 detection engines. Composite risk score calculated as 38/100 (LOW).,0,38,2026-09-05 12:17:00.211290
15,8,Data Sync,System,Dataset synchronized,Work record MPLADS-BR-1002 ingested and normalized from eSAKSHI portal.,,Work in Progress,2026-09-05 12:17:00.211290
16,8,Risk Engine,System,Risk recalculated,Evaluated 5 detection engines. Composite risk score calculated as 37/100 (LOW).,0,37,2026-09-05 12:17:00.211290
17,9,Data Sync,System,Dataset synchronized,Work record MPLADS-RJ-1003 ingested and normalized from eSAKSHI portal.,,Work in Progress,2026-09-05 12:17:00.211290
18,9,Risk Engine,System,Risk recalculated,Evaluated 5 detection engines. Composite risk score calculated as 41/100 (LOW).,0,41,2026-09-05 12:17:00.211290
19,10,Data Sync,System,Dataset synchronized,Work record MPLADS-RJ-1004 ingested and normalized from eSAKSHI portal.,,Completed,2026-09-05 12:17:00.227889
20,10,Risk Engine,System,Risk recalculated,Evaluated 5 detection engines. Composite risk score calculated as 73/100 (MEDIUM).,0,73,2026-09-05 12:17:00.227889
21,11,Data Sync,System,Dataset synchronized,Work record MPLADS-GJ-1005 ingested and normalized from eSAKSHI portal.,,Work in Progress,2026-09-05 12:17:00.227889
22,11,Risk Engine,System,Risk recalculated,Evaluated 5 detection engines. Composite risk score calculated as 38/100 (LOW).,0,38,2026-09-05 12:17:00.227889
23,12,Data Sync,System,Dataset synchronized,Work record MPLADS-RJ-1006 ingested and normalized from eSAKSHI portal.,,Work in Progress,2026-09-05 12:17:00.227889
24,12,Risk Engine,System,Risk recalculated,Evaluated 5 detection engines. Composite risk score calculated as 38/100 (LOW).,0,38,2026-09-05 12:17:00.227889
25,13,Data Sync,System,Dataset synchronized,Work record MPLADS-GJ-1007 ingested and normalized from eSAKSHI portal.,,Work in Progress,2026-09-05 12:17:00.239446
26,13,Risk Engine,System,Risk recalculated,Evaluated 5 detection engines. Composite risk score calculated as 39/100 (LOW).,0,39,2026-09-05 12:17:00.239446
27,14,Data Sync,System,Dataset synchronized,Work record MPLADS-RJ-1008 ingested and normalized from eSAKSHI portal.,,Completed,2026-09-05 12:17:00.244812
28,14,Risk Engine,System,Risk recalculated,Evaluated 5 detection engines. Composite risk score calculated as 73/100 (MEDIUM).,0,73,2026-09-05 12:17:00.244812
29,15,Data Sync,System,Dataset synchronized,Work record MPLADS-BR-1009 ingested and normalized from eSAKSHI portal.,,Work in Progress,2026-09-05 12:17:00.244812
30,15,Risk Engine,System,Risk recalculated,Evaluated 5 detection engines. Composite risk score calculated as 36/100 (LOW).,0,36,2026-09-05 12:17:00.244812
