work_code,project_name,category,state,district,constituency,mp_name,vendor_name,gstin,pan,sanctioned_amount,expenditure,utilization_pct,completion_pct,status,latitude,longitude,executing_agency,sanction_date,composite_score,risk_level,price_score,iqr_score,benford_score,hhi_score,photo_score
MPLADS-BR-00481,Construction of Community Hall,Community Building,Bihar,Rohtas,Sasaram (SC),Shri Manoj Kumar,Local Contractor Ltd.,10AAACL1234F1Z1,AAACL1234F,2500000.0,2150000.0,86.0,75.0,Under Review,24.9567,83.9856,"District Rural Development Agency, Rohtas",2025-07-20 12:17:00.111346,83.0,HIGH,91.0,84.0,61.0,78.0,88.0
MPLADS-BR-1002,Infrastructure Project at Rohtas Block 3,Infrastructure,Bihar,Rohtas,Sasaram (SC),Shri Manoj Kumar,Reliance Infra,27AABCR3344P1Z3,AABCR3344P,800000.0,421000.0,52.7,54.0,Work in Progress,24.855947959494845,80.46255143778534,Rohtas Public Works Dept,2025-05-04 12:17:00.211290,37.0,LOW,0.5,21.5,100.0,70.7,34.5
MPLADS-BR-1009,Education Project at Patna Block 5,Education,Bihar,Patna,Patna Sahib,Shri Ravi Shankar Prasad,Apex Civil Infra Ltd.,27AACCA9900L1Z8,AACCA9900L,3500000.0,1948000.0,55.7,51.5,Work in Progress,25.536479471623174,75.372266092157,Patna Public Works Dept,2026-07-05 12:17:00.244812,36.0,LOW,2.2,29.7,85.5,62.8,36.9
MPLADS-BR-1011,Energy Project at Patna Block 2,Energy,Bihar,Patna,Patna Sahib,Shri Ravi Shankar Prasad,Reliance Infra,27AABCR3344P1Z3,AABCR3344P,1200000.0,652000.0,54.3,54.7,Work in Progress,24.357920588371595,83.23050579361865,Patna Public Works Dept,2026-03-18 12:17:00.244812,39.0,LOW,12.0,22.9,100.0,62.8,30.4
MPLADS-BR-1014,Energy Project at Rohtas Block 5,Energy,Bihar,Rohtas,Sasaram (SC),Shri Manoj Kumar,Local Contractor Ltd.,10AAACL1234F1Z1,AAACL1234F,3500000.0,1721000.0,49.2,46.9,Work in Progress,27.635145827416533,85.1502088116351,Rohtas Public Works Dept,2026-04-20 12:17:00.261396,39.0,LOW,0.5,38.6,100.0,70.7,27.5
MPLADS-BR-1017,Water Supply Project at Rohtas Block 3,Water Supply,Bihar,Rohtas,Sasaram (SC),Shri Manoj Kumar,Reliance Infra,27AABCR3344P1Z3,AABCR3344P,3500000.0,3057000.0,87.3,86.3,Work in Progress,26.1500919915252,74.01303282104647,Rohtas Public Works Dept,2025-05-30 12:17:00.279331,43.0,LOW,6.8,50.0,100.0,70.7,29.2
MPLADS-BR-1018,Roads Project at Patna Block 4,Roads,Bihar,Patna,Patna Sahib,Shri Ravi Shankar Prasad,Apex Civil Infra Ltd.,27AACCA9900L1Z8,AACCA9900L,7500000.0,6001000.0,80.0,82.8,Work in Progress,22.56255870127707,86.92772541424733,Patna Public Works Dept,2026-04-05 12:17:00.294227,40.0,LOW,0.3,50.0,100.0,62.8,25.3
MPLADS-BR-1019,Community Building Project at Patna Block 5,Community Building,Bihar,Patna,Patna Sahib,Shri Ravi Shankar Prasad,Reliance Infra,27AABCR3344P1Z3,AABCR3344P,800000.0,477000.0,59.6,55.5,Work in Progress,24.47598002715339,80.86775770471424,Patna Public Works Dept,2026-05-29 12:17:00.301957,37.0,LOW,4.7,22.0,100.0,62.8,34.8
MPLADS-BR-1020,Healthcare Project at Rohtas Block 1,Healthcare,Bihar,Rohtas,Sasaram (SC),Shri Manoj Kumar,Sharma Contractors,24AABCS5678K1Z5,AABCS5678K,2500000.0,1103000.0,44.1,52.3,Under Review,22.29997038531992,79.33267603734231,Rohtas Public Works Dept,2025-04-09 12:17:00.301957,66.0,MEDIUM,89.4,30.5,100.0,70.7,35.3
MPLADS-BR-1021,Healthcare Project at Patna Block 2,Healthcare,Bihar,Patna,Patna Sahib,Shri Ravi Shankar Prasad,Sharma Contractors,24AABCS5678K1Z5,AABCS5678K,3500000.0,3039000.0,86.8,94.8,Work in Progress,20.84517379228587,81.91884296776848,Patna Public Works Dept,2026-06-12 12:17:00.311459,37.0,LOW,2.2,35.4,100.0,62.8,24.4
